Time [LST],"Temperature [ITS-90, deg C]","Salinity, Practical [PSU]","Depth [salt water, m], lat = 33.00","Beam Transmission, Chelsea/Seatech/WET Labs CStar [%]","Density [sigma-t, Kg/m^3 ]",Altimeter [m],"Oxygen, SBE 43 [ml/l]",Conductivity [S/m],Heading [deg],Pitching [deg],Rolling [deg]
8:52:10,25.1852,34.6223,12.639,79.9505,22.9995,1.49,2.98036,5.275863,7.478838199,-5.8248,10.0008
8:52:11,25.1454,34.6542,12.877,79.9505,23.0357,1.49,3.01767,5.276079,9.401976769,-5.9112,11.0556
8:52:12,25.1266,34.6662,13.108,79.9261,23.0505,2.03,3.01841,5.27576,8.524945736,-4.5504,10.6596
8:52:13,25.1329,34.6594,13.257,79.9261,23.0434,15.04,3.06162,5.275492,8.72197893,-3.8916,11.2752
8:52:14,25.1589,34.6379,13.257,79.9261,23.0193,98.61,3.19758,5.275291,7.224646929,-4.0212,11.3184
8:52:15,25.1773,34.6215,13.16,79.9505,23.0013,98.58,3.24927,5.274971,5.647042802,-3.7152,10.5732
8:52:16,25.1828,34.6108,13.048,79.9505,22.9915,98.61,3.17262,5.274086,4.356383613,-3.276,10.2636
8:52:17,25.1848,34.6049,12.862,79.9505,22.9864,98.58,3.14151,5.273476,4.383965781,-3.4488,10.1772
8:52:18,25.185,34.6037,12.713,79.9505,22.9855,53.48,3.12695,5.273335,3.40307799,-3.6252,9.2952
8:52:19,25.18,34.6042,12.802,79.9505,22.9874,1.07,3.08723,5.272889,4.466718419,-4.0212,10.4832
8:52:20,25.1608,34.6156,13.1,79.9505,23.0018,1.22,3.05229,5.272451,6.040994158,-4.284,11.0556
8:52:21,25.1683,34.6071,13.345,79.9505,22.9932,1.39,2.96063,5.272087,5.676982678,-3.9348,10.44
8:52:22,25.1891,34.5907,13.352,79.9261,22.9744,1.37,2.90448,5.27202,5.928079033,-3.3192,10.836
8:52:23,25.1963,34.581,13.143,79.9505,22.9649,1.2,2.93879,5.27144,5.36614281,-3.7584,10.836
8:52:24,25.2011,34.5754,12.889,79.8773,22.9592,1.27,2.94805,5.271172,3.290586382,-3.7584,9.738
8:52:25,25.1956,34.5795,12.747,79.8773,22.9639,1.42,2.93991,5.271142,2.925647784,-3.978,9.8244
8:52:26,25.1835,34.5851,12.784,79.9261,22.9718,53.04,2.94356,5.27066,3.543136968,-3.8448,10.5732
8:52:27,25.2028,34.5697,12.977,79.9261,22.9544,98.58,3.00631,5.270578,3.85088314,-3.582,11.142
8:52:28,25.212,34.5531,13.185,79.9017,22.939,98.61,3.12492,5.269277,4.04615239,-4.374,11.1852
8:52:29,25.2137,34.5466,13.259,79.9017,22.9336,98.58,3.24711,5.268579,3.935877056,-4.5072,10.9656
8:52:30,25.2156,34.5394,13.139,79.9017,22.9276,98.58,3.37374,5.267798,4.158740617,-3.7584,11.4516
8:52:31,25.218,34.5343,12.915,79.9017,22.923,98.58,3.41478,5.267338,2.673244935,-3.5388,11.142
8:52:32,25.2179,34.5328,12.751,79.9017,22.9219,98.58,3.35604,5.267122,1.888810987,-4.3308,10.7028
