./20170602061002943.png:   PNG image data, 49 x 48, 8-bit grayscale, non-interlaced
./20170602061004424.png:   PNG image data, 14 x 18, 8-bit grayscale, non-interlaced
./20170602061007439.png:   PNG image data, 22 x 46, 8-bit grayscale, non-interlaced
./20170602061008966.png:   PNG image data, 47 x 42, 8-bit grayscale, non-interlaced
./20170602061008966b.png:  PNG image data, 34 x 36, 8-bit grayscale, non-interlaced
./20170602061008966c.png:  PNG image data, 26 x 32, 8-bit grayscale, non-interlaced
./20170602061016329c.png:  PNG image data, 21 x 21, 8-bit grayscale, non-interlaced
./20170602061017839.png:   PNG image data, 13 x 14, 8-bit grayscale, non-interlaced
./20170602061019343.png:   PNG image data, 27 x 25, 8-bit grayscale, non-interlaced
./20170602061020820.png:   PNG image data, 9 x 9, 8-bit grayscale, non-interlaced
./20170602061025163.png:   PNG image data, 27 x 27, 8-bit grayscale, non-interlaced
./20170602061025163b.png:  PNG image data, 19 x 19, 8-bit grayscale, non-interlaced
./20170602061025163c.png:  PNG image data, 13 x 13, 8-bit grayscale, non-interlaced
./20170602061026557.png:   PNG image data, 12 x 16, 8-bit grayscale, non-interlaced
./20170602061029600.png:   PNG image data, 28 x 27, 8-bit grayscale, non-interlaced
./20170602061029600b.png:  PNG image data, 18 x 18, 8-bit grayscale, non-interlaced
./20170602061029600c.png:  PNG image data, 17 x 16, 8-bit grayscale, non-interlaced
./20170602061031087.png:   PNG image data, 55 x 43, 8-bit grayscale, non-interlaced
./20170602061031087b.png:  PNG image data, 55 x 49, 8-bit grayscale, non-interlaced
./20170602061034135.png:   PNG image data, 17 x 19, 8-bit grayscale, non-interlaced
./20170602061034135b.png:  PNG image data, 21 x 18, 8-bit grayscale, non-interlaced
./20170602061036978.png:   PNG image data, 21 x 31, 8-bit grayscale, non-interlaced
./20170602061038415.png:   PNG image data, 57 x 56, 8-bit grayscale, non-interlaced
./20170602061045647.png:   PNG image data, 20 x 20, 8-bit grayscale, non-interlaced
