./20170609085159207.png:      PNG image data, 36 x 38, 8-bit grayscale, non-interlaced
./20170609085159207t.png:     PNG image data, 25 x 26, 8-bit grayscale, non-interlaced
./20170609085200713t.png:     PNG image data, 21 x 19, 8-bit grayscale, non-interlaced
./20170609085204952.png:      PNG image data, 83 x 82, 8-bit grayscale, non-interlaced
./20170609085207887.png:      PNG image data, 16 x 19, 8-bit grayscale, non-interlaced
./20170609085207887spike.png: PNG image data, 62 x 63, 8-bit grayscale, non-interlaced
./20170609085210775.png:      PNG image data, 24 x 26, 8-bit grayscale, non-interlaced
./20170609085215131-2.png:    PNG image data, 25 x 26, 8-bit grayscale, non-interlaced
./20170609085215131.png:      PNG image data, 29 x 27, 8-bit grayscale, non-interlaced
./20170609085220947.png:      PNG image data, 29 x 27, 8-bit grayscale, non-interlaced
./20170609085222376.png:      PNG image data, 23 x 21, 8-bit grayscale, non-interlaced
./20170609085229813.png:      PNG image data, 29 x 31, 8-bit grayscale, non-interlaced
./20170609085231196.png:      PNG image data, 17 x 19, 8-bit grayscale, non-interlaced
./20170609085232310.png:      PNG image data, 26 x 24, 8-bit grayscale, non-interlaced
./20170609085235263.png:      PNG image data, 60 x 58, 8-bit grayscale, non-interlaced
./20170609085247182.png:      PNG image data, 73 x 70, 8-bit grayscale, non-interlaced
./20170609085248733.png:      PNG image data, 49 x 44, 8-bit grayscale, non-interlaced
./20170609085250164.png:      PNG image data, 20 x 20, 8-bit grayscale, non-interlaced
./20170609085257543.png:      PNG image data, 26 x 25, 8-bit grayscale, non-interlaced
./20170609085301971.png:      PNG image data, 29 x 30, 8-bit grayscale, non-interlaced
./20170609085303390.png:      PNG image data, 28 x 30, 8-bit grayscale, non-interlaced
./20170609085310778.png:      PNG image data, 25 x 24, 8-bit grayscale, non-interlaced
./20170609085310778b.png:     PNG image data, 63 x 46, 8-bit grayscale, non-interlaced
./20170609085316726.png:      PNG image data, 93 x 96, 8-bit grayscale, non-interlaced
./20170609085316726b.png:     PNG image data, 39 x 34, 8-bit grayscale, non-interlaced
./20170609085318099.png:      PNG image data, 26 x 27, 8-bit grayscale, non-interlaced
./20170609085328194b.png:     PNG image data, 20 x 19, 8-bit grayscale, non-interlaced
./20170609085330741.png:      PNG image data, 68 x 60, 8-bit grayscale, non-interlaced
./20170609085334991.png:      PNG image data, 13 x 12, 8-bit grayscale, non-interlaced
./20170609085336469.png:      PNG image data, 18 x 18, 8-bit grayscale, non-interlaced
./20170609085337975.png:      PNG image data, 37 x 35, 8-bit grayscale, non-interlaced
./20170609085339314.png:      PNG image data, 54 x 83, 8-bit grayscale, non-interlaced
./20170609085346804.png:      PNG image data, 31 x 31, 8-bit grayscale, non-interlaced
./20170609085348261.png:      PNG image data, 38 x 36, 8-bit grayscale, non-interlaced
./20170609085349725.png:      PNG image data, 32 x 29, 8-bit grayscale, non-interlaced
./20170609085349725b.png:     PNG image data, 27 x 30, 8-bit grayscale, non-interlaced
./20170609085356831.png:      PNG image data, 27 x 27, 8-bit grayscale, non-interlaced
./20170609085359730.png:      PNG image data, 24 x 42, 8-bit grayscale, non-interlaced
./20170609085405481.png:      PNG image data, 42 x 38, 8-bit grayscale, non-interlaced
./20170609085405481_four.png: PNG image data, 115 x 117, 8-bit grayscale, non-interlaced
./20170609085407006.png:      PNG image data, 28 x 29, 8-bit grayscale, non-interlaced
./20170609085408484.png:      PNG image data, 30 x 28, 8-bit grayscale, non-interlaced
./20170609085410025.png:      PNG image data, 19 x 19, 8-bit grayscale, non-interlaced
./20170609085411540.png:      PNG image data, 42 x 41, 8-bit grayscale, non-interlaced
./20170609085415977.png:      PNG image data, 43 x 41, 8-bit grayscale, non-interlaced
./20170609085415977b.png:     PNG image data, 30 x 32, 8-bit grayscale, non-interlaced
./20170609085417318.png:      PNG image data, 17 x 22, 8-bit grayscale, non-interlaced
./20170609085418481.png:      PNG image data, 47 x 56, 8-bit grayscale, non-interlaced
./20170609085422850.png:      PNG image data, 13 x 13, 8-bit grayscale, non-interlaced
./20170609085428503.png:      PNG image data, 21 x 22, 8-bit grayscale, non-interlaced
./20170609085429975.png:      PNG image data, 26 x 25, 8-bit grayscale, non-interlaced
./20170609085429975b.png:     PNG image data, 65 x 51, 8-bit grayscale, non-interlaced
./20170609085431450..png:     PNG image data, 40 x 54, 8-bit grayscale, non-interlaced
./20170609085432893.png:      PNG image data, 46 x 45, 8-bit grayscale, non-interlaced
./20170609085432893b.png:     PNG image data, 29 x 27, 8-bit grayscale, non-interlaced
./20170609085432893c.png:     PNG image data, 14 x 13, 8-bit grayscale, non-interlaced
./20170609085434327.png:      PNG image data, 111 x 97, 8-bit grayscale, non-interlaced
./20170609085435829.png:      PNG image data, 41 x 41, 8-bit grayscale, non-interlaced
./20170609085438780.png:      PNG image data, 41 x 42, 8-bit grayscale, non-interlaced
./20170609085440311.png:      PNG image data, 101 x 44, 8-bit grayscale, non-interlaced
./20170609085441869.png:      PNG image data, 40 x 40, 8-bit grayscale, non-interlaced
./20170609085446128.png:      PNG image data, 32 x 28, 8-bit grayscale, non-interlaced
./20170609085449064.png:      PNG image data, 72 x 60, 8-bit grayscale, non-interlaced
./20170609085449064b.png:     PNG image data, 30 x 30, 8-bit grayscale, non-interlaced
./20170609085452034.png:      PNG image data, 17 x 16, 8-bit grayscale, non-interlaced
./20170609085454944.png:      PNG image data, 72 x 61, 8-bit grayscale, non-interlaced
./20170609085454944b.png:     PNG image data, 24 x 27, 8-bit grayscale, non-interlaced
